original_title,post_corpus,question_content,question_url,tags,overall_scores,answers_content,sentiment_polarity,sentiment_subjectivity,processed_title
How to make a label with the background color as a color chosen by the user?,make label background color color chosen user code essentially want make label background color color chosen color dialog person see color color hexadecimal code please help three issues here1285 6425 6425 804040,make label background color color chosen user code essentially want make label background color color chosen color dialog person see color color hexadecimal code please help,https://stackoverflow.com/questions/20589439,python|user-interface|python-3.x|tkinter,-0.01685888951912775,"There are three issues here:((128.5, 64.25, 64.25), '#804040')  
",0.2333333333333333,0.4222222222222222,make label background color color chosen user
Django - how to run syncdb after 'south' is an installed app?,django run syncdb south installed app added south installed apps schemamigrations added explicitly convert use south,django run syncdb south installed app added south installed apps schemamigrations added,https://stackoverflow.com/questions/20754806,python|django|django-south|django-syncdb,-0.01685888951912775,You have to explicitly convert any of your  to use South.,0.0,0.5,django run syncdb south installed app
Regular expression match a or b pattern,regular expression match b pattern got small problem regular expression library python specifically match method different patterns groups numbered left right one alternatives matches group need extract,regular expression match b pattern got small problem regular expression library python specifically match method different patterns,https://stackoverflow.com/questions/20970413,python|regex,-0.02073485851137581,"Your groups are numbered from left to right; if one of the alternatives matches, then it is that group you need to extract.",0.08035714285714285,0.5085978835978836,regular expression match b pattern
Access django sqlite db from external script,access django sqlite db external script want prepopulate db using external script script following defining models django helps manipulate instances,access django sqlite db external script want prepopulate db using external script script following,https://stackoverflow.com/questions/20974780,python|django|sqlite|external-script,-0.024610827503623874,Defining models in Django helps you to manipulate instances.,0.21666666666666667,0.5041666666666667,access django sqlite db external script
Django: UpdateView with unique field,django updateview unique field trying create update profile page custom user model model email field set unique remove user model definition field definition null false default additionally specify field must unique important field nt want form validation allow blank values django documentation attributes blank entirely form validation thing alone might fix errorclass formforms form def _ _ init__self args kwargs super__init__args kwargs selffieldsunique_fieldrequired false,django updateview unique field trying create update profile page custom user model model email field set unique,https://stackoverflow.com/questions/21609985,python|django,-0.01685888951912775,"Remove  from your User Model definition. The field definition is null=False by default and additionally you specify the field must be unique—it's a important field—so you don't want your form validation to allow blank values. Here is the Django documentation on those attributes. blank is entirely a form validation thing. That alone might fix the error.class Form(forms.Form):
     ...

     def __init__(self, *args, **kwargs):
          super().__init__(*args, **kwargs)
          self.fields['unique_field].required = False 
",0.0005050505050504991,0.3250631313131313,django updateview unique field
Finding object in list not working properly in django app,finding object list working properly django app want check date user picked already booked wrote codes inputting date booked db informed date free supposed comparing date object list strings booked_dates never true query check bookable entry already created property certain time something like formis_valid data formcleaned_data requested_date dataevent_date requested_kip finapartobjectsgetpk kipid existing_bookings bookableobjectsfilter kip requested_kip event_date requested_date existing_bookings return httpresponsebooked already newbooking bookable user requestuser pub_date datetimedatetimenow event_date requested_date phone_no dataphone_no kip requested_kip session sessionobjectsgetsession_key requestsessionsession_key newbookingsave return httpresponsebooking saved,finding object list working properly django app want check date user picked already booked wrote codes inputting date booked db informed date free supposed,https://stackoverflow.com/questions/21634733,python|django|django-models|django-views,-0.01685888951912775,"You are comparing a date object  against a list of strings booked_dates which will never be true. Why not just do a query to check if there is a Bookable entry already created for a property at a certain time? Something like:     if form.is_valid():
        data=form.cleaned_data
        requested_date = data['event_date']
        requested_kip = Finapart.objects.get(pk=kipid)
        existing_bookings = Bookable.objects.filter(
            kip = requested_kip,
            event_date = requested_date
        )
        if existing_bookings: 
            return HttpResponse('Booked already')
        newbooking=Bookable(
            user=request.user,
            pub_date=datetime.datetime.now(),
            event_date=requested_date,
            phone_no=data['phone_no'],
            kip=requested_kip,
            session=Session.objects.get(session_key=request.session.session_key))
        newbooking.save()
        return HttpResponse('Booking saved')
    ...
",0.28214285714285714,0.6107142857142858,finding object list working properly django app
Clicking visible close button inside a dialog,clicking visible close button inside dialog potential problem hand overlay form comes successful registration tried x path helpas recognize given site httpsaksoff5thcom provide working code,clicking visible close button inside dialog potential problem hand overlay form comes successful registration tried x path helpas recognize,https://stackoverflow.com/questions/22054287,python|selenium|selenium-webdriver,-0.02073485851137581,"Given your site is http://saksoff5th.com, I can provide working code for you.",0.095,0.58,clicking visible close button inside dialog
Binding events to widget not working,binding events widget working function say foo supposed bind event simplest fix make sure lambda using current value widgetconfigcommand lambda x x selffunctionwidget_listindexx,binding events widget working function say foo supposed bind event,https://stackoverflow.com/questions/22609620,python|tkinter,-0.024610827503623874,"The simplest fix is to make sure that your lambda is using the current value of :widget.config(command = lambda x=x: self.function(widget_list.index(x))
",0.25,0.6444444444444444,binding events widget working
Appending list B with indices from enumerated list A,appending list b indices enumerated list new python attempt copy list strings indices list variable created loop returned empty list however printing list copied returns data want answer comment simple way implement dictionary lists would,appending list b indices enumerated list new python attempt copy list strings indices list variable created loop returned empty list however printing list copied returns data want,https://stackoverflow.com/questions/24337483,python|list|dictionary|indexing|enumerate,-0.02073485851137581,"As an answer to the comment above, a simple way to implement a dictionary of such lists would be this:",-0.4189882697947214,0.7699622957687473,appending list b indices enumerated list
Change a text between two strings in Python with Regex,change text two strings python regex found several similar questions fit problem try find replace string two strings text use combination lookarounds regular expression,change text two strings python regex found several similar questions fit problem try find replace string two strings text,https://stackoverflow.com/questions/24558361,python|regex,0.014148862418856746,Use a combination of lookarounds in your regular expression. ,0.033333333333333326,0.4256410256410256,change text two strings python regex
A simpler way to run a function on dictionary values w/o losing the association to keys?,simpler way run function dictionary values wo losing association keys like run function values dictionary make things complicated exact transformation value goes independent contingent transformations values went simple function defined list show mean pointed comments quite strange process values dict terms iteration order order guaranteed could lead different values every time apply function said parameter take account processing iteration step could simply use dict comprehension,simpler way run function dictionary values wo losing association keys like run function values dictionary make things complicated exact transformation value goes independent contingent transformations values went simple function defined list show mean,https://stackoverflow.com/questions/24606531,python|list|python-2.7|dictionary,-0.02073485851137581,"As pointed out in the comments, it's quite strange to process values of a dict in terms of the iteration order, because that order is not guaranteed, so it could lead to different values every time you apply the function. That being said, if the only parameter that you take into account when processing is the iteration step, you could simply use a dict comprehension:",0.030194805194805198,0.6725881261595548,simpler way run function dictionary values wo losing association keys
Python: dynamically store access for dictionary,python dynamically store access dictionary tried find google etc probably using wrong keywords noted children automatically references parents ca nt go back,python dynamically store access dictionary tried find google etc probably using wrong keywords,https://stackoverflow.com/questions/25111405,python|loops|python-3.x|dictionary|reference,-0.02073485851137581,"As you've noted, the children do not automatically have references to their parents, so you can't just ""go back.""",-0.03831168831168832,0.4407467532467533,python dynamically store access dictionary
Python replacing characters in a dictionary of strings using a dictionary,python replacing characters dictionary strings using dictionary two dictionaries key letter value corresponding symbol words key word made entirely symbols value word symbols replaced correct lettersclues 2b c try,python replacing characters dictionary strings using dictionary two dictionaries key letter value corresponding symbol words key word made entirely symbols value word symbols replaced correct lettersclues 2b c,https://stackoverflow.com/questions/25485326,python|dictionary,-0.024610827503623874,Try this:,0.0,0.0,python replacing characters dictionary strings using dictionary
how to use django-admin.py makemessages --all,use djangoadminpy makemessages trying create messagefile django project need add locale directory paths example locale_paths ospathjoinbase_dir locale ospathjoinbase_dir yourapp locale,use djangoadminpy makemessages trying create messagefile django project,https://stackoverflow.com/questions/25720361,python|django,0.033528707380097056,"You just need to add your locale directory paths to . For example:LOCALE_PATHS = [
    os.path.join(BASE_DIR, ""locale""),
    os.path.join(BASE_DIR, ""yourapp/locale""), 
]
",0.25,1.0,use djangoadminpy makemessages
Equivalent of Ruby nil array in Python,equivalent ruby nil array python ruby empty array returns nil first element accessed simple way achieve want list operations raise error periodexpression none0,equivalent ruby nil array python ruby empty array returns nil first element accessed,https://stackoverflow.com/questions/25871092,python|ruby|arrays|list,-0.005230982542383564,"There is no simple way to achieve what you want. The list operations raise an error, period.((expression) or [None])[0]
",0.08749999999999998,0.4928571428571428,equivalent ruby nil array python
pandas time series and pickling,pandas time series pickling facing strange problem using pandas bug present 0140 fixed master 0150 expecting release early oct 2014 see,pandas time series pickling facing strange problem using pandas,https://stackoverflow.com/questions/25953996,python|pandas,-0.01685888951912775,"Their was a bug present in 0.14.0, fixed in master (0.15.0), expecting release in early Oct 2014, see here.",0.00044642857142856984,0.5017857142857143,pandas time series pickling
What is under the hood of x = 'y' 'z' in Python?,hood x z python run python get x set yz means kind string concatenation occurring python sees multiple strings next strings concatenated python parser anything executed really like joinyz except effect import ast astdumpastparsehello world modeevalbody strshelloworld,hood x z python run python get x set yz means kind string concatenation occurring python sees multiple strings next,https://stackoverflow.com/questions/26433138,python|string|syntax|concatenation|python-internals,0.2312031259847482,"The strings are being concatenated by the python parser before anything is executed, so its not really like  or ''.join('y','z'), except that it has the same effect.>>> import ast
>>> ast.dump(ast.parse(""'hello' 'world'"", mode='eval').body)
""Str(s='helloworld')""
",0.034374999999999996,0.32008928571428574,hood x z python
Python multi-threaded processing with limited CPU/ports,python multi threaded processing limited cpu ports dictionary folder names would like process parallel folder array file names would like process series use handles queue thread management easily changed multiprocessing instead import multithreading import multithreadingpool import itertools def process_files_in_seriesfile_names_array udp_port file_name file_names_array time_consuming_methodfile_name udp_port create file_name udp_ports 123 456 789 folder_file_dict folder_name file_names_key file_names_array def mainfolder_file_dict udp_ports number threads limiting smaller udp_ports file lists process cap arbitrarily set 4 num_threads minlenfolder_file_dict lenudp_ports 4 pool pool multithreadingpool threadpoolnum_threads build files processed list may want things like join folder_name file_arrays valuefile_names_key value folder_file_dictvalues work poolmapprocess_files_in_series zipfile_arrays itertoolscycleudp_ports poolclose pooljoin,python multi threaded processing limited cpu ports dictionary folder names would like process parallel folder array file names would like process series,https://stackoverflow.com/questions/26636394,python|multithreading|python-2.7|parallel-processing,-0.02073485851137581,"Use the . It handles queue / thread management for you and can be easily changed to do multiprocessing instead. import multithreading
import multithreading.pool
import itertools

def process_files_in_series(file_names_array, udp_port):
    for file_name in file_names_array:
         time_consuming_method(file_name, udp_port)
         # create ""file_name""

udp_ports = [123, 456, 789]

folder_file_dict = {
         folder_name : {
                         file_names_key : [file_names_array]
                       }
        }

def main(folder_file_dict, udp_ports):
    # number of threads - here I'm limiting to the smaller of udp_ports,
    # file lists to process and a cap I arbitrarily set to 4
    num_threads = min(len(folder_file_dict), len(udp_ports), 4)
    # the pool
    pool = multithreading.pool.ThreadPool(num_threads)
    # build files to be processed into list. You may want to do other
    # Things like join folder_name...
    file_arrays = [value['file_names_key'] for value in folder_file_dict.values()]
    # do the work
    pool.map(process_files_in_series, zip(file_arrays, itertools.cycle(udp_ports))
    pool.close()
    pool.join()
",0.028611111111111094,0.5774074074074075,python multi threaded processing limited cpu ports
Key error while using django crispy forms for login,key error using django crispy forms login trying create login form django using crispy forms login authentication two fields email_id password browser showing password field following error see taking educated guess included imports anywhere using parent class loginform class used loginview,key error using django crispy forms login trying create login form django using crispy forms login authentication two fields email_id password browser showing password field following error,https://stackoverflow.com/questions/27513597,python|django|django-crispy-forms|django-1.7,-0.012982920526879688,"From what I can see (I am taking an educated guess, as you have not included your imports anywhere), you're using  as the parent class for your LoginForm class, which is being used in LoginView.",-0.0625,0.7472222222222222,key error using django crispy forms login
Checking if a string fits a pattern,checking string fits pattern hi need check string fits pattern python pattern question standard uk car registration pattern came,checking string fits pattern hi need check string fits pattern python pattern question standard uk car registration pattern,https://stackoverflow.com/questions/28232573,python|string,-0.01685888951912775,Here is what i Came up with,5.551115123125783e-17,0.6333333333333333,checking string fits pattern
Modify 3rd index of array in json using python,modify 3rd index array json using python file testjson contains array rows another sub array allowed alphabets like ab etcbut want modify contents subarray couple problems program,modify 3rd index array json using python file testjson contains array rows another sub array allowed alphabets like ab etcbut want modify contents subarray,https://stackoverflow.com/questions/28273385,python|arrays|json,-0.02073485851137581,There are a couple of problems with your program as it is.,-0.03791666666666667,0.4458333333333334,modify 3rd index array json using python
Fetching element by index in list is faster than fetching element by key in dictionary,fetching element index list faster fetching element key dictionary following script test faster three steps actually also needs compare key finds given key make sure retuns correct value another value happen mapped bucket,fetching element index list faster fetching element key dictionary following script test faster,https://stackoverflow.com/questions/28825116,python|list|dictionary,-0.01685888951912775,"Three steps actually, it also needs to compare () the key it finds with the given key, to make sure it retuns the correct value, and not another value which happen to be mapped to the same bucket.",0.05555555555555555,0.6237654320987654,fetching element index list faster fetching element key dictionary
what should I change in my function,change function run funlist_1 get 4 data frames function function def funlist_1 each_value list_1 perform operation create new data framepandas named new_data_frame value list print each_value yield new_data_frame data_frame funlist_1 something data frame data_frame,change function run funlist_1 get 4 data frames,https://stackoverflow.com/questions/28959292,python|python-2.7|pandas,-0.005230982542383564,"When you  from the function, it's over.
You're out of the function and that's it.  def fun(list_1):
    for each_value in list_1:
        # perform some operation and create a new data frame(pandas) named ""new_data_frame"" for each value in the list
        print each_value
        yield new_data_frame

for data_frame in fun(list_1):
    # Do something with the data frame ""data_frame""
",0.1621212121212121,0.4348484848484848,change function
Python Pandas to_html can't print utf-8 characters,python pandas to_html ca nt print utf8 characters utf 8 characters trying print issue following code question precise enough provide definitive answer questions file string encodings pandas version particular error comes remain enough construct mcve evaluate issue python python3 interpreters coding utf8 import pandas pd io import stringio import sys printsysversion printpd__version _ _ csv unamenbovér liùsaidh printtypecsv df pdread_csvstringiocsv index_col false encodingutf8 printdfto_html,python pandas to_html ca nt print utf8 characters utf 8 characters trying print issue following code,https://stackoverflow.com/questions/29114189,python|pandas,-0.024610827503623874,"The question is not precise enough to provide a definitive answer.  Questions on file and string encodings, pandas version and where that particular error comes from remain.  But there is enough there to construct an MCVE to evaluate the issue on python and python3 interpreters.# -*- coding: utf-8 -*-
import pandas as pd
from io import StringIO
import sys

print(sys.version)
print(pd.__version__)

csv = u'name\n""BOVÉR, LIÙSAIDH""'
print(type(csv))
df = pd.read_csv(StringIO(csv), index_col=False, encoding='utf-8')
print(df.to_html())
",0.011111111111111108,0.4472222222222222,python pandas to_html ca nt print utf8 characters
Assign values to next digits,assign values next digits need assign values next digits code looks like easy way,assign values next digits need assign values next digits code looks like,https://stackoverflow.com/questions/29654042,python|list|python-2.7|loops|for-loop,-0.024610827503623874,An easy way to do this is this:,0.16666666666666669,0.5916666666666667,assign values next digits
python list not showing full elements,python list showing full elements inserting images decaf want extract features 678th layers 6th 7th supposed 4096 dimensions 8th supposed 1000 looks like numpy array instead f6name fnamef6txt f6 openf6namew f feat6 f6writestrf f6writet f6close,python list showing full elements inserting images decaf want extract features 678th layers 6th 7th supposed 4096 dimensions 8th supposed 1000,https://stackoverflow.com/questions/29825174,python|list|neural-network|caffe,-0.02073485851137581,"It looks like  is a NumPy array.
If so, instead of f6name = fname+'-f6.txt'
f6 = open(f6name,'w')
for f in feat6:
    f6.write(str(f))
    f6.write('\t')
f6.close()
",0.20666666666666664,0.3933333333333333,python list showing full elements
Regex: How to match IP address in RFC1918 private IPV4 address ranges (in Python)?,regex match ip address rfc1918 private ipv4 address ranges python rfc1918 defines private ipv4 addresses fall within following ranges following regexp work,regex match ip address rfc1918 private ipv4 address ranges python rfc1918 defines private ipv4 addresses fall within following ranges,https://stackoverflow.com/questions/30674845,python|regex,0.02190080040335287,The following regexp should work:,0.0,0.23173076923076924,regex match ip address rfc1918 private ipv4 address ranges python
"How to put an image on another image in python, using ImageTk?",put image another image python using imagetk want put image front another one use combined image button background image tkinter use photoshop gimp assure way much simpler less redundant essentially getting tkinter photo edit mention talking bad practice comes coding,put image another image python using imagetk want put image front another one use combined image button background image tkinter,https://stackoverflow.com/questions/30982712,python|user-interface|tkinter,-0.024610827503623874,"Just use photoshop or G.I.M.P.. I assure you, doing it that way will be much simpler and less redundant than essentially getting Tkinter to photo edit for you (not to mention what you're talking about is just bad practice when it comes to coding)",0.10197916666666666,0.4719444444444445,put image another image python using imagetk
Python Selenium select xpath with variable,python selenium select xpath variable trying locate visible element change based user enters website successful use follow static xpath search string solution issue encountering tried reworking string related escapes successful however get following working clear worked,python selenium select xpath variable trying locate visible element change based user enters website successful use follow static xpath search string,https://stackoverflow.com/questions/31256469,python|selenium|xpath,-0.01685888951912775,This is the solution to the issue I was encountering.  Tried reworking the string and the related escapes '\' but was not successful. Did however get the following working. I am not clear why this worked.,-0.10625,0.45833333333333337,python selenium select xpath variable
Selecting image inside SVG tag in selenium,selecting image inside svg tag selenium started working selenium stuck point need help html using python selinium xpath work,selecting image inside svg tag selenium started working selenium stuck point need help html using python selinium,https://stackoverflow.com/questions/31312149,python|selenium|xpath|svg,-0.02073485851137581,This XPATH should work :,0.0,0.0,selecting image inside svg tag selenium
flip keys and values in dictionary python,flip keys values dictionary python dictionary called z looks like easiest way flip key value dict using dict comprehension looks like full example region_prefix ab alberta bc british columbia international mb manitoba nb new brunswick nl newfoundland ns nova scotia nu nunavut nw northwest territories ontario pe prince edward island qc quebec sk saskatchewan us united states yk yukon region_prefix2 value key key value region_prefixitems,flip keys values dictionary python dictionary called z looks like,https://stackoverflow.com/questions/31326117,python|dictionary,0.006396924434360623,"Easiest way to flip key value in a dict is using dict comprehension, which looks like this: . Full example:REGION_PREFIX = {
    'AB': 'Alberta',
    'BC': 'British Columbia',
    'IN': 'International',
    'MB': 'Manitoba',
    'NB': 'New Brunswick',
    'NL': 'Newfoundland',
    'NS': 'Nova Scotia',
    'NU': 'Nunavut',
    'NW': 'Northwest Territories',
    'ON': 'Ontario',
    'PE': 'Prince Edward Island',
    'QC': 'Quebec',
    'SK': 'Saskatchewan',
    'US': 'United States',
    'YK': 'Yukon',
}

REGION_PREFIX2 = {value: key for key, value in REGION_PREFIX.items()}
",0.04950649350649352,0.5344502164502164,flip keys values dictionary python
Python: How to keep running program until some value becomes 0 and checking how long it takes,python keep running program value becomes 0 checking long takes following code sloppy answer mobile,python keep running program value becomes 0 checking long takes following code,https://stackoverflow.com/questions/31352161,python|if-statement|for-loop,-0.028486796495871936,Here's a sloppy answer from my mobile:,0.2416666666666667,0.53125,python keep running program value becomes 0 checking long takes
Django+MongoDb connection error,djangomongodb connection error currently developing application djangomongodb application push data database url application accessed install mongodb local pc set dbpath,djangomongodb connection error currently developing application djangomongodb application push data database url application accessed,https://stackoverflow.com/questions/31385175,python|django|mongodb,-0.02073485851137581,"Install mongodb in local pc and set dbpath,",-0.041666666666666664,0.43333333333333335,djangomongodb connection error
Python appending after updating the line to a file,python appending updating line file text file content issue strings immutable function line linereplacev strintv 00001,python appending updating line file text file content,https://stackoverflow.com/questions/31862528,python|python-2.7,-0.012982920526879688,"The issue is that strings are immutable , and in your  function, when you do - line = line.replace(v, str(int(v) + 00001))
",0.018518518518518517,0.18888888888888888,python appending updating line file
Django - When button is clicked I want to change the dictionary content,django button clicked want change dictionary content html page button number displayed want number increase 1 every time button pressed code far nt work p value needs kept track across requests,django button clicked want change dictionary content html page button number displayed want number increase 1 every time button pressed code far nt work,https://stackoverflow.com/questions/31929963,python|html|django|button|dictionary,-0.01685888951912775,The p value needs to be kept track of across requests.,-0.008506493506493507,0.2543831168831169,django button clicked want change dictionary content
Calling different functions in an easier way,calling different functions easier way fairly new programming moment creating program many different functions moment user type command time help without function brackets would like stay way keep functions list traverse list using loop,calling different functions easier way fairly new programming moment creating program many different functions moment user type command time help without function brackets would like stay way,https://stackoverflow.com/questions/32078419,python|loops|for-loop,-0.01685888951912775,"Keep all the functions in a list, and traverse through list using for loop.",0.0,0.0,calling different functions easier way
Finding paths in a json tree in python,finding paths json tree python json tree form several problems code error getting nt error value returned generator need wrap list force evaluate said going run several bugs even fix surface bugs code nt going give result wantimport pprint def pathstree treechildren yield treeid else child treechildren descendant pathschild yield treeid descendant tree reply 0 30 children reply 0 451 children reply 0 307 children reply 0 276 children reply 0 253 children reply 0 600 children reply 0 700 children reply 0 800 children reply 0 900 children pprintpprintlistpathstree,finding paths json tree python json tree form,https://stackoverflow.com/questions/32106869,python|json,-0.024610827503623874,"There are several problems with your code, but the ""error"" you were getting isn't an error; it's the value returned by , which is a generator. You need to wrap it in list() to force it to evaluate itself. That said, if you do that, you're going to run into several bugs. And even if you fix the surface bugs, your code isn't going to give you the result you want.import pprint


def paths(tree):
    if not tree['children']:
        yield (tree['id'],)
    else:
        for child in tree['children']:
            for descendant in paths(child):
                yield (tree['id'],) + descendant

tree = {
    'reply': 0,
    'id': 30,
    'children': [
        {'reply': 0, 'id': 451, 'children': []},
        {'reply': 0, 'id': 307, 'children': []},
        {'reply': 0, 'id': 276, 'children': []},
        {'reply': 0, 'id': 253, 'children': [
            {'reply': 0, 'id': 600, 'children': []},
            {'reply': 0, 'id': 700, 'children': []},
            {'reply': 0, 'id': 800, 'children': []},
            {'reply': 0, 'id': 900, 'children': []},
        ]}
        ]
    }

pprint.pprint(list(paths(tree)))
",-0.6136363636363636,0.8181818181818182,finding paths json tree python
Python data structure to mimic relational databases,python data structure mimic relational databases would like store lot instances data python record following fields username address salary etc could alternatively actually use relational database sqlite module allows databases memory,python data structure mimic relational databases would like store lot instances data python record following fields username address salary etc,https://stackoverflow.com/questions/32440656,python|list|search|dictionary|set,-0.012982920526879688,You could alternatively actually use a relational database. The sqlite module allows for databases in memory:,0.17055555555555554,0.4644444444444445,python data structure mimic relational databases
Django - Server error 500 with URL tag,django server error 500 url tag issue put online django project tag main html file basehtml see server error 500 solved issue adding begenning python py files old version python 26,django server error 500 url tag issue put online django project tag main html file basehtml see server error 500,https://stackoverflow.com/questions/32760681,python|django|url|tags|server-error,-0.02073485851137581,I solved the issue by adding  at the begenning of all my Python (*.py) files because it's an old version about python (2.6),0.3,0.6,django server error 500 url tag
How to display multiple ForeignKey filtered items in a single view in django?,display multiple foreignkey filtered items single view django trying understand best way display filtered data django model modelspy class publishermodels model def publisher_name models textfield def publisher_slug models slugfield def founded_year models integerfield class albummodels model def album_name models textfield def publisher models foreignkeypublisher related_namealbums class songmodels model def song_name models textfield def album models foreignkeyalbum related_namesongs def published_year models integerfield could add custom template filter registerfilter def of_yearsongs year return songsfilterpublished_year year,display multiple foreignkey filtered items single view django trying understand best way display filtered data django model modelspy class publishermodels model def publisher_name models textfield def publisher_slug models slugfield def founded_year models integerfield class albummodels model def album_name models textfield def publisher models foreignkeypublisher related_namealbums class songmodels model def song_name models textfield def album models foreignkeyalbum related_namesongs def published_year models integerfield,https://stackoverflow.com/questions/33170803,python|django|django-models|django-templates|django-views,-0.02073485851137581,"You could do add a custom template filter :@register.filter
def of_year(songs, year):
    return songs.filter(published_year=year)
",0.3666666666666667,0.7000000000000001,display multiple foreignkey filtered items single view django
Is it possible to have a dictionary of dictionary of dictionary in python?,possible dictionary dictionary dictionary python would like three dimensional hash python dictionary dictionary dictionary nt know possible problems nt understand makes suspect nt possible example piece code reads two comma separated files tvtxt filmtxt puts data dictionary dictionary dictionary dofdofd two files look like yes creating nested dictionaries possibleif show dofdofd show_dict dofdofdshow else show_dict dofdofdshow show_dict something show_dict,possible dictionary dictionary dictionary python would like three dimensional hash python dictionary dictionary dictionary nt know possible problems nt understand makes suspect nt possible example piece code reads two comma separated files tvtxt filmtxt puts data dictionary dictionary dictionary dofdofd two files look like,https://stackoverflow.com/questions/33366119,python|dictionary,-0.02073485851137581,"yes: creating nested dictionaries is possible.if show in dOfDofD:
    show_dict = dOfDofD[show]
else:
    show_dict = {}
    dOfDofD[show] = show_dict
# do something with show_dict
",-0.1405844155844156,0.4452741702741702,possible dictionary dictionary dictionary python
"In Python, is there a string s such that float(s) is None?",python string floats none curious context list string representations floats including none values like use list comprehension convert list actual floats string none code gives error simple solution would use ternary statement,python string floats none curious context list string representations floats including none values like use list comprehension convert list actual floats string none code gives error,https://stackoverflow.com/questions/33928305,python|python-2.7,-0.009106951534631626,A simple solution would be to use a ternary statement,0.0,0.35714285714285715,python string floats none
explanation for groupby() in Pandas dataframe object behaviour,explanation groupby pandas dataframe object behaviour csv file shown need something groups example,explanation groupby pandas dataframe object behaviour csv file shown,https://stackoverflow.com/questions/34111967,python|pandas,-0.02073485851137581,You need to do something with the groups. For example:,0.0,0.0,explanation groupby pandas dataframe object behaviour
TypeError happens with Nginx but not with Flask Server,typeerror happens nginx flask server running api behind flask python connections handled nginx uwsgi got working,typeerror happens nginx flask server running api behind flask python connections handled nginx uwsgi,https://stackoverflow.com/questions/35122083,python|nginx|flask|pycrypto|pbkdf2,-0.024610827503623874,Got it working.,0.1875,0.375,typeerror happens nginx flask server
Django redirect for multilingual website,django redirect multilingual website working bilingual website french english trying figure detect redirect french users index_frhtml templates folder thanks responses,django redirect multilingual website working bilingual website french english trying figure detect redirect french users index_frhtml templates folder,https://stackoverflow.com/questions/35257406,python|django|http-redirect,-0.024610827503623874,Thanks for your responses.,0.0,0.0,django redirect multilingual website
How to find a special word inside a file using Python?,find special word inside file using python bunch files directory want compile class files via python code sample package class name helloworldapplet package blah blah blah class blah blah blah package helloworldpackage another comment may may word package class inside import javacardframework apdu import javacardframework applet import javacardframework iso7816 import javacardframework isoexception import javacardframework util also multi line comment blah blah blah package blah blah blah package public class helloworldapplet extends applet private static final byte helloworld bytehbyteebytelbytelbyteobyte bytewbyteobyterbytelbyted private static final byte hw_cla byte0x80 private static final byte hw_ins byte0x00 public static void installbyte barray short boffset byte blength new helloworldappletregisterbarray short boffset 1 barrayboffset public void processapdu apdu selectingapplet return byte buffer apdugetbuffer byte cla byte bufferiso7816offset_cla 0xff byte ins byte bufferiso7816offset_ins 0xff cla hw_cla isoexceptionthrowitiso7816sw_cla_not_supported switch ins case hw_ins gethelloworld apdu break default isoexceptionthrowitiso7816sw_ins_not_supported private void gethelloworld apdu apdu byte buffer apdugetbuffer short length short helloworldlength utilarraycopynonatomichelloworld short0 buffer short0 short length apdusetoutgoingandsendshort0 length many cases simple regex work,find special word inside file using python bunch files directory want compile class files via python code sample package class name helloworldapplet package blah blah blah class blah blah blah package helloworldpackage another comment may may word package class inside import javacardframework apdu import javacardframework applet import javacardframework iso7816 import javacardframework isoexception import javacardframework util also multi line comment blah blah blah package blah blah blah package public class helloworldapplet extends applet private static final byte helloworld bytehbyteebytelbytelbyteobyte bytewbyteobyterbytelbyted private static final byte hw_cla byte0x80 private static final byte hw_ins byte0x00 public static void installbyte barray short boffset byte blength new helloworldappletregisterbarray short boffset 1 barrayboffset public void processapdu apdu selectingapplet return byte buffer apdugetbuffer byte cla byte bufferiso7816offset_cla 0xff byte ins byte bufferiso7816offset_ins 0xff cla hw_cla isoexceptionthrowitiso7816sw_cla_not_supported switch ins case hw_ins gethelloworld apdu break default isoexceptionthrowitiso7816sw_ins_not_supported private void gethelloworld apdu apdu byte buffer apdugetbuffer short length short helloworldlength utilarraycopynonatomichelloworld short0 buffer short0 short length apdusetoutgoingandsendshort0 length,https://stackoverflow.com/questions/35538814,python|regex|python-2.7|python-3.x,-0.005230982542383564,In many cases a simple regex will work.,0.09981684981684981,0.485958485958486,find special word inside file using python
In tkinter (python 3) how to make the program wait for an event (e.g. button click) before continuing?,tkinter python 3 make program wait event eg button click continuing making simple rock paper scissors program first program ever prior programming experience came simply create flag variable,tkinter python 3 make program wait event eg button click continuing making simple rock paper scissors program first program ever prior programming experience came,https://stackoverflow.com/questions/35556512,python|tkinter,-0.024610827503623874,You can simply create a flag variable:,0.30833333333333335,0.49933862433862436,tkinter python 3 make program wait event eg button click continuing
JSON Website response into Python dictionary,json website response python dictionary trying load json response website python 27 dictionary getting stuck iterating outer json object order iterate movie use,json website response python dictionary trying load json response website python 27 dictionary getting stuck iterating outer json object,https://stackoverflow.com/questions/35862866,python|json,-0.02073485851137581,"In order to iterate over each movie, Use:",0.0,0.0,json website response python dictionary
Python pandas dataframe groupby selecting columns,python pandas dataframe groupby selecting columns following detaframe bb appending new rank column,python pandas dataframe groupby selecting columns following detaframe bb,https://stackoverflow.com/questions/36267315,python|python-2.7|python-3.x|pandas,-0.012982920526879688,"How about appending a new ""Rank"" column?",-0.27929292929292926,0.7542087542087542,python pandas dataframe groupby selecting columns
